Username,Name,Id,Email,Faculty,Major,AdvisorID
b661002,ศิรินภา ทองมี,661002,sirinapa.t@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,E3044
b661003,อภิชัย ศรีสุวรรณ,661003,apichai.s@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,E3044
b661004,ปรียาภรณ์ อินทร์แก้ว,661004,preeyaporn.i@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,E3044
b661005,นภัสสร ชาญไกร,661005,napatsorn.c@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,E3044
b661006,พงษ์พัฒน์ ชูชาติ,661006,pongpat.c@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,E3045
b661007,ชนัญญู จันทร์สมบัติ,661007,chananyou.j@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,E3045
b661008,รัตนาวดี พูนสวัสดิ์,661008,rattanawadee.p@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,E3045
b661009,จิราภา บุญจันทร์,661009,jirapa.b@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,E3045
b661010,สุทธิรักษ์ ตรีทิพย์,661010,sutthirak.t@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,E3045
b661011,นรินทร์พล กุลวงษ์,661011,narinpol.k@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,E3046
b661012,วรัญญู เจนใจ,661012,waranyu.j@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,E3046
b661013,ธนกฤต ภูมิพัฒน์,661013,thanakrit.p@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,E3046
b661014,ปรัชญา สุนทรชัย,661014,prachaya.s@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,E3046
b661015,รัชนีกร ไชยชนะ,661015,rachaneekorn.c@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,E3046

